""	"X0"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X8"	"X11"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.10052192411585	-0.124831792459524	-0.127346636680973	-0.1212763649204	-0.125982921644662	-0.117277417786641	-0.0779128507117259	-0.105986136281672	-0.123439190132199	-0.115520506049967	2325.65283974755	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0448052016417478	0.0468912008773529	0.0500363520878156	0.0494316634602272	0.0514007818720133	0.0443938431050253	0.104926429653921	0.0427812090642774	0.0495794561958359	0.0503484028917366	655.104035118497	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.193728727725292	0.200393703421714	0.202449969976019	0.200224945415006	0.206103927408571	0.196734450506894	0.176449197967639	0.197890374428325	0.203565386397753	0.198114381085755	21015.7938737021	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0847863088468098	0.0912644930785041	0.0913290279875547	0.0924194393073041	0.0928354241039203	0.0880862624115157	0.0890259512868169	0.0872694765242546	0.0878080207244618	0.089594688056635	1697.27008207542	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.223621888476636	0.227631141568822	0.230369624123166	0.229396272047023	0.227886084512773	0.227153427107984	0.196082975207134	0.230725481617773	0.220549777508382	0.225944049485672	50715.7155630688	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0630772787856216	0.065891467771857	0.0621493839966415	0.0606493598677717	0.0612986018859617	0.0616464848561104	0.0540670736530035	0.0593659480512563	0.0582594686698831	0.0622000033966484	1534.13457193302	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.153159960943697	0.153827671464065	0.156366530206916	0.15479563831879	0.155616134441897	0.156711172442533	0.144772394443872	0.154237700695366	0.163856836027056	0.154209218358293	28362.1841070032	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.115884423749525	0.107515996502233	0.111393842298835	0.110607653313964	0.1094627185716	0.117567094992935	0.1438255320239	0.10796491996529	0.117277802763555	0.113355728310884	6378.12179431062	0	0
"GO_11_CIS_RETINAL_BINDING"	0.333739924382685	0.342170381089977	0.348463409451165	0.341796053470415	0.343314630306502	0.338601048065745	0.275161204415329	0.337840887161639	0.314560810704884	0.337456943906402	340393.878217776	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0718727073995122	0.0739255829745181	0.0576705975624256	0.070349439340343	0.063040174624127	0.0710164120285898	0.0980452965147049	0.078932276173293	0.0906866252353686	0.0703749671110415	3571.33417782912	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	0.0605860269512522	0.0647731155413602	0.0691626010418984	0.064736457489682	0.0643500033998342	0.0618641376086934	0.0360679133160876	0.0633788209476679	0.0496261377516084	0.0627744922344066	4745.91673296001	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.0781746977371721	0.0685847190393946	0.0692892984195749	0.0687849208403204	0.0744864227643172	0.0704059674748162	0.161979863373347	0.0656035561021843	0.0930035515205971	0.0762859540080421	1829.17804807523	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0718128565237152	0.0715924500934317	0.0678224360190762	0.0710008174722378	0.067832815126145	0.0692183105785164	0.0700482284769177	0.0704310149130637	0.0740923355381427	0.0703294055881801	9165.89884477338	0	0
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0696016236637293	0.0653104326107116	0.0640999294741606	0.0644396206049535	0.0609579774049241	0.070833934494124	0.131215723492551	0.0737682513302683	0.0722875214564323	0.0695605954496061	2212.95264192703	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.174509696769624	-0.177625800402304	-0.183437190840385	-0.182980074992067	-0.189220921205683	-0.182387081870909	-0.0921790685791242	-0.174971706348484	-0.171815641646773	-0.175668003543984	4022.29085522748	0	0
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0372773150700791	0.0407274700833417	0.0367819140248881	0.0423899579739416	0.0414795738776529	0.0373432322700351	0.0212732547793521	0.0467187172341508	0.053745919488719	0.0386462911393768	1315.26836732777	0	0
