""	"rho"	"Pval"	"SE"	"Tval"	"n"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.0232412717185259	1	0.0196669231210651	-1.18174416890013	2586	1
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	-0.0617995070293163	1	0.019634635050062	-3.14747418893947	2586	1
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	-0.0801402199759052	0.284426569461413	0.0196089631005458	-4.08691778167886	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-0.0696225576754915	1	0.0196245003432944	-3.54773657711398	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	0.110213961840541	0.000155429082890628	0.0195523913423424	5.63685330918388	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	-0.0835832709797378	0.13596137141054	0.0196033997179093	-4.26371303868163	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	-0.00137197151718346	1	0.0196722183695239	-0.0697415762377321	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	-0.0596400133141912	1	0.0196372193211549	-3.03709055436082	2586	1
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.0655941552371838	1	0.0196298704472698	-3.34154804604465	2586	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	-0.090824519979362	0.0260875759359755	0.019590929799439	-4.63604948357085	2586	1
"GO_11_CIS_RETINAL_BINDING"	-0.127195570836533	7.50456700202941e-07	0.0195124522315781	-6.51868710949027	2586	0.00662728311949217
"GO_14_3_3_PROTEIN_BINDING"	0.117599528426686	1.68802848097173e-05	0.0195357332251612	6.01971408348385	2586	0.142807209490209
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-0.101970163436718	0.00155045045543935	0.019569694514962	-5.21061600418731	2586	1
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	-0.0345079718426852	1	0.0196605205440941	-1.7551911591197	2586	1
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0337606053311552	1	0.0196610226917295	1.71713373513153	2586	1
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0844679809654799	0.111944614419684	0.0196019321269157	4.30916607702644	2586	1
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.0324767167743428	1	0.0196618596277146	-1.65176221320209	2586	1
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0363677232806657	1	0.0196592232183204	1.84990642187605	2586	1
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	-0.00977270896755158	1	0.0196712974549254	-0.4968004266086	2586	1
"GO_3_5_DNA_HELICASE_ACTIVITY"	-0.0235568459112081	1	0.0196667778187467	-1.19779895457777	2586	1
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.0234056873512036	1	0.0196668476625329	-1.19010874303936	2586	1
"GO_3_5_EXONUCLEASE_ACTIVITY"	-0.0230777568051201	1	0.0196669976383569	-1.17342551361836	2586	1
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.0839171851204394	0.126307127261267	0.0196028476366308	-4.28086707992505	2586	1
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.0951371876820136	0.00909616132928883	0.0195830069793412	-4.8581501187421	2586	1
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	-0.0736099426088956	1	0.0196188682356343	-3.75199739989057	2586	1
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	-0.042949543818946	1	0.019654084182001	-2.18527321961299	2586	1
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.0879364396477043	0.0512252078626385	0.0195960283635395	-4.48746235800104	2586	1
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.0559274151322428	1	0.0196414466317572	2.84741832823131	2586	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	0.0306394158148769	1	0.0196630008256628	1.55822684881793	2586	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	-0.0389217279444054	1	0.0196573304918082	-1.980010864681	2586	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	-0.0727311471599817	1	0.0196201365987092	-3.70696436256038	2586	1
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	0.209866213018065	3.92426687445389e-23	0.0192341383792598	10.9111314933849	2586	3.90307583333184e-19
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	-0.0342485893736973	1	0.0196606960676109	-1.74198254506964	2586	1
"GO_3M_COMPLEX"	-0.0980359112809015	0.00436458938248122	0.0195774733134475	-5.00758753243005	2586	1
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	-0.0131656271556218	1	0.019670531879048	-0.669307125835533	2586	1
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING"	-0.0408144795168361	1	0.0196558448347919	-2.07645511347303	2586	1
"GO_5_3_DNA_HELICASE_ACTIVITY"	-0.0521535055015173	1	0.0196454645411381	-2.65473516252601	2586	1
"GO_5_3_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.0860853508093621	0.0780716270926065	0.019599208934485	-4.39228701000754	2586	1
"GO_5_3_EXONUCLEASE_ACTIVITY"	-0.0327760701692148	1	0.0196616673901395	-1.66700359226158	2586	1
"GO_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY"	0.0288044876169405	1	0.0196640741778334	1.46482805935561	2586	1
"GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS"	-0.0177471741709383	1	0.0196691386347228	-0.902285275452198	2586	1
"GO_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III"	-0.0663274745435423	1	0.0196289168176366	-3.37906952073621	2586	1
"GO_5S_RRNA_BINDING"	-0.0597321105029152	1	0.0196371109913411	-3.0417972648448	2586	1
"GO_7S_RNA_BINDING"	-0.0148084916091751	1	0.019670079789434	-0.75284349467304	2586	1
"GO_7SK_SNRNA_BINDING"	-0.00575524712385045	1	0.0196719110809508	-0.292561668267376	2586	1
"GO_90S_PRERIBOSOME"	-0.0459876664245384	1	0.0196514238068922	-2.34016969337405	2586	1
"GO_9PLUS0_NON_MOTILE_CILIUM"	-0.0809486187694273	0.240091836078774	0.0196076780263466	-4.12841432119894	2586	1
