""	"rho"	"Pval"	"SE"	"Tval"	"n"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.0496167606060162	1	0.0159096836953859	-3.11865160590251	3943	1
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	-0.0184563480178593	1	0.0159265900555876	-1.158838643642	3943	1
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	-0.0486374978012019	1	0.0159104509547424	-3.05695281293738	3943	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-0.156656417507101	2.16427241098788e-19	0.0157326267996547	-9.95742284502285	3943	1.0704491344746e-15
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	0.00986531169760149	1	0.015928528166378	0.619348604877708	3943	1
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	-0.163472236229693	2.61262429438984e-21	0.0157150213154793	-10.4022917276398	3943	1.34158257516918e-17
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	-0.207016678913098	1.26215132234873e-35	0.0155842334284802	-13.2837254949464	3943	7.95660193608641e-32
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	-0.097030167452323	3.11880976768519e-06	0.0158541399807863	-6.12017855083368	3943	0.00948118169376299
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.0628163727258584	0.15504567914187	0.0158978445834581	-3.95125090046606	3943	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	-0.0180417229410375	1	0.015926710604862	-1.13279655722067	3943	1
"GO_11_CIS_RETINAL_BINDING"	-0.412064535022362	1.76129352051232e-157	0.0145140590084402	-28.3907165309677	3943	1.78066774923796e-153
"GO_14_3_3_PROTEIN_BINDING"	0.148768659279074	2.7953106423968e-17	0.0157520424843865	9.44440439559088	3943	1.31491412618346e-13
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-0.338007106536297	5.14079296339976e-102	0.0149917612147967	-22.546190650548	3943	4.67657935880476e-98
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.214147892376104	2.56508243126813e-38	0.0155597633993618	13.7629272939258	3943	1.662686431948e-34
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0140415629353438	1	0.0159277329081252	0.881579507663695	3943	1
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.248893406996971	7.02773978653042e-53	0.0154280222346197	16.1325543359969	3943	5.17593035277965e-49
"GO_2FE_2S_CLUSTER_ASSEMBLY"	0.0103970255114745	1	0.0159284423526887	0.652733348387925	3943	1
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	-0.171639214556227	1.01324340588794e-23	0.0156929104930487	-10.9373729387073	3943	5.43909060280645e-20
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	-0.11897411331998	2.4953045375444e-10	0.0158161631756733	-7.52231195382287	3943	9.39482158385465e-07
"GO_3_5_DNA_HELICASE_ACTIVITY"	0.285694964154541	4.96069909849996e-71	0.015265379659623	18.7152216665928	3943	4.07323002977832e-67
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	0.0427705707515477	1	0.0159147267603079	2.68748382524665	3943	1
"GO_3_5_EXONUCLEASE_ACTIVITY"	0.140894301479309	2.74548559208718e-15	0.0157704028690063	8.93409652560049	3943	1.22009379712354e-11
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.29283318763903	6.85097110096847e-75	0.0152310191461934	-19.2261059373835	3943	5.72604164618945e-71
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.223488160939713	5.40121554619051e-42	0.015526397800281	-14.3940767082284	3943	3.63123721170388e-38
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	0.0537643308187621	1	0.0159062640304104	3.38007282640177	3943	1
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.158343591178577	7.38863325695976e-20	0.015728340408003	10.0674061643533	3943	3.6898834485257e-16
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.0124417697763832	1	0.0159280703830243	-0.781122224927092	3943	1
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.0625149111633453	0.167032742128888	0.0158981461010379	3.93221390507061	3943	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	-0.124282240167141	1.8884991979974e-11	0.0158058019723967	-7.86307713991279	3943	7.42746734572377e-08
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	-0.12356129848664	2.69900386723791e-11	0.0158072361570328	-7.81675539348895	3943	1.05517555512496e-07
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	-0.191419381651624	4.41439699940616e-30	0.0156347440691596	-12.2432053127885	3943	2.60758430754922e-26
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	0.103513748454022	2.36960519204722e-07	0.0158437314867668	6.53341976544354	3943	0.000774836593015313
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	0.0549421342815178	0.942099715373792	0.0159052427675817	3.45434113042913	3943	1
"GO_3M_COMPLEX"	-0.271769753105145	8.01949497714314e-64	0.0153297610396874	-17.7282445826492	3943	6.34342052692022e-60
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	0.0139307939282245	1	0.0159277575887751	0.874623678228382	3943	1
"GO_4_IRON_4_SULFUR_CLUSTER_BINDING"	0.267258170481227	1.41128288454467e-61	0.0153498743498261	17.4110982533388	3943	1.10122403481021e-57
"GO_5_3_DNA_HELICASE_ACTIVITY"	0.0912342118316025	2.70292647982867e-05	0.015862869584723	5.75143175352504	3943	0.076736082762336
"GO_5_3_EXODEOXYRIBONUCLEASE_ACTIVITY"	-0.1096703227137	1.73389266279941e-08	0.0158332180650308	-6.92659712405009	3943	5.99753472062316e-05
"GO_5_3_EXONUCLEASE_ACTIVITY"	0.119657725139992	1.80099384810686e-10	0.0158148545412198	7.56616033540596	3943	6.81856270893257e-07
"GO_5_DEOXYRIBOSE_5_PHOSPHATE_LYASE_ACTIVITY"	0.195981103694498	1.18166628833865e-31	0.0156203970697537	12.54648667504	3943	7.12662938497037e-28
"GO_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS"	0.148685299985869	2.93701245819828e-17	0.0157522421934245	9.43899275799197	3943	1.38010215410737e-13
"GO_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III"	0.0919874038536924	2.06240538752363e-05	0.015861765812793	5.79931673051824	3943	0.0592322827296788
"GO_5S_RRNA_BINDING"	0.0113717060825505	1	0.015928273352185	0.713932127551703	3943	1
"GO_7S_RNA_BINDING"	0.160196678416696	2.23728515162948e-20	0.0157235782189737	10.1883093139312	3943	1.12871035899707e-16
"GO_7SK_SNRNA_BINDING"	-0.0126644977643978	1	0.01592802584223	-0.795107811215396	3943	1
"GO_90S_PRERIBOSOME"	0.185636896280644	3.80302031438222e-28	0.0156524267452138	11.8599434645116	3943	2.18255335842396e-24
"GO_9PLUS0_NON_MOTILE_CILIUM"	-0.246554053435421	8.00561467591987e-52	0.0154375504748134	-15.9710605537891	3943	5.83929534461596e-48
"GO_9PLUS2_MOTILE_CILIUM"	-0.10637671102118	7.14460233940572e-08	0.0158389188794343	-6.71615984846684	3943	0.000239344178370092
"GO_A_BAND"	-0.160031797350971	2.48994187522412e-20	0.0157240042458861	-10.1775473249978	3943	1.25517969930048e-16
"GO_ABSCISSION"	0.0990975801386177	1.40060255159466e-06	0.0158508948549052	6.25186029216205	3943	0.00437128056352695
"GO_ACETATE_ESTER_TRANSPORT"	-0.260107442679522	4.16546416975268e-58	0.0153810116202742	-16.9109450731229	3943	3.17616642943642e-54
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS"	0.155116291577777	5.69453178161195e-19	0.0157364985132425	9.85710330968761	3943	2.78291768167376e-15
"GO_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE"	0.117596264137093	4.79325613014994e-10	0.0158187776753001	7.43396655234057	3943	1.7869258853199e-06
"GO_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY"	0.178873451376531	5.81814528414726e-26	0.0156723969605441	11.4132797827194	3943	3.23663422157112e-22
"GO_ACETYL_COA_HYDROLASE_ACTIVITY"	0.0739862176629498	0.00770633078299057	0.0158856453245628	4.65742600639272	3943	1
"GO_ACETYL_COA_METABOLIC_PROCESS"	0.121961025926224	5.93749986162321e-11	0.0158103893406367	7.71397992159203	3943	2.29721869646202e-07
"GO_ACETYLCHOLINE_BINDING"	-0.293945509875773	1.6761079174531e-75	0.0152255814230058	-19.3060285652949	3943	1.40524887799268e-71
