""	"T_statistic"	"CI_low"	"CI_high"	"mean_Yes"	"mean_No"	"p.value"	"FDR"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	6.91909684180672	0.00811243624939486	0.0145266821732583	-0.111645422634493	-0.12296498184582	5.01683192098952e-12	3.07832806671917e-08
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	2.257979133845	0.000477570209402371	0.00676971994836037	0.0294791975457014	0.0258555524668201	0.0239858509364728	1
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	2.38620498798797	0.000604453558119765	0.0061700053507626	0.0515079707192697	0.0481207412648285	0.0170560686913028	1
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	-6.22543731744004	-0.00786365647025439	-0.0040971642858239	0.196067076182709	0.202047486560748	5.16644993657856e-10	2.90819466930007e-06
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	-6.03319017463061	-0.00988757856661865	-0.00503777360120707	-0.00459866937710164	0.00286400670681123	1.71586642680979e-09	9.43726534745383e-06
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	-1.62363185625574	-0.00548022592625863	0.000514964086322957	0.0887447961372497	0.0912274270572175	0.104514517443073	1
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	-5.91093802580447	-0.00551428951657229	-0.00276758675526783	0.22452646065598	0.2286673987919	3.59664966084176e-09	1.94470847161714e-05
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0701600219347224	-0.00207558463518181	0.00222966396609675	0.0622263767849027	0.0621493371194453	0.944068841574363	1
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	-0.955391712850105	-0.00186274200191173	0.000642046863092782	0.154000274909194	0.154610622478604	0.339422380847486	1
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	8.79168603679186	0.00625181809417523	0.00983982688138245	0.116110096454039	0.108064273966261	1.84159414848541e-18	1.34012806185283e-14
"GO_11_CIS_RETINAL_BINDING"	-15.7657398434994	-0.00811445425780513	-0.00631973696855334	0.334986278132549	0.342203373745728	4.0545818550968e-55	3.93051165033084e-51
"GO_14_3_3_PROTEIN_BINDING"	-2.73147334593714	-0.0039519293219546	-0.000649477720866177	0.0695873553415992	0.0718880588630096	0.00632511005382523	1
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	-4.06803530532423	-0.0037169887353809	-0.00129957147748611	0.061915819695985	0.0644240998024185	4.79813946539628e-05	0.186839550782531
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	9.5326742350895	0.00993808442211946	0.0150837348864073	0.0805688785997717	0.0680579689455083	2.17486042110857e-21	1.66333325006384e-17
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	-0.230401931479732	-0.00113488081898644	0.000896176861403141	0.0702885472062427	0.0704078991850343	0.817788484626208	1
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	7.02696646553773	0.00546964391014123	0.00970230730121061	0.0721575418245436	0.0645715662188677	2.35715869004122e-12	1.46190981956356e-08
"GO_2FE_2S_CLUSTER_ASSEMBLY"	4.32292667938195	0.00455728250624848	0.012120221760808	-0.172813355275874	-0.181152107409402	1.56512636959921e-05	0.0644049501090075
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	-9.62011901538664	-0.00884624399507415	-0.00585115059986017	0.0361305734783694	0.0434792707758365	1.00165734542084e-21	7.70274498628623e-18
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	-4.31888566669768	-0.00430211281866427	-0.0016158451294305	0.0844977632230407	0.0874567421970881	1.59736233854927e-05	0.0656515921143752
"GO_3_5_DNA_HELICASE_ACTIVITY"	20.9034115178082	0.0173463384350561	0.0209364203519325	0.0367352074299099	0.0175938280364155	2.37345805426049e-94	2.40170220510619e-90
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	-3.23346120104188	-0.00585546243440872	-0.00143525885154165	0.0451529563084083	0.0487983169513835	0.00122989945688031	1
"GO_3_5_EXONUCLEASE_ACTIVITY"	2.98543864819188	0.000564296601593701	0.00272261255974105	0.102223983919637	0.10058052933897	0.00284311701113703	1
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-4.15944425105735	-0.00474217878694935	-0.00170399283227714	-0.0151907614895152	-0.0119676756799019	3.24092775743388e-05	0.128600013414976
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	7.57748222748157	0.0060865208313898	0.0103347122842176	-0.14175642502416	-0.149967041581964	3.97737875891517e-14	2.61035367947603e-10
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	9.21850775235704	0.0130492260188074	0.020098171793628	0.0954655029031531	0.0788918039969354	4.08238817734229e-20	3.05730050601164e-16
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	6.70442836092833	0.00524407192434245	0.00957815258561595	0.257022362667676	0.249611250412696	2.2280135250032e-11	1.33302049200941e-07
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	3.29053337572534	0.0021022132049295	0.00829869737213215	-0.056278184948895	-0.0614786402374259	0.00100605195376203	1
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	6.34293980027787	0.0034147793092269	0.00646975787777654	0.232683124899	0.227740856305498	2.43177804271117e-10	1.39024750701798e-06
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING"	3.53740178824445	0.00141978657201419	0.00494962485858186	0.139520910330865	0.136336204615567	0.000407285869128707	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS"	-1.08882328555556	-0.00207924309331004	0.000594309197842099	0.1901174828018	0.190859949749534	0.276277175637057	1
"GO_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS"	-4.86209412277	-0.00385319520596468	-0.00163880922972471	0.0889543750770056	0.0917003772948503	1.19454508440043e-06	0.00543637467910636
"GO_3_UTR_MEDIATED_MRNA_DESTABILIZATION"	-6.85126478840217	-0.00826721302420507	-0.00458870706666909	0.244164451825587	0.250592411871024	8.08016423039457e-12	4.91920398346421e-08
"GO_3_UTR_MEDIATED_MRNA_STABILIZATION"	-2.85667911068801	-0.00430569563908069	-0.000801140101503885	0.137213942496551	0.139767360366843	0.00429684570964518	1
"GO_3M_COMPLEX"	-4.55104350108762	-0.00454923258388114	-0.00180997092587305	0.0643060826961811	0.0674856844510582	5.45066281807064e-06	0.023530511385611
"GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"	1.39800327113715	-0.000712558420416024	0.00425519053092359	0.126215053053091	0.124443736997838	0.162167337964064	1
