""	"X0"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	0.0601985150581113	0.0326161052791125	0.0493705176111543	0.0450914310250724	0.0175041859586508	-0.0577798786813052	0.0261856470192175	-0.0667813425771832	0.0405292809924437	0.0653856756171139	-0.0475655990472247	0.00611251780130625	0.0119229537398402	-0.0936359822481015	0.0642123480033001	-0.109704210486374	0.0411596146524174	0.020800737700291	195.545047406253	0	0
"GO_1_ACYLGLYCEROPHOSPHOCHOLINE_O_ACYLTRANSFERASE_ACTIVITY"	0.0533232697247354	0.0502026130991681	0.116945413714967	0.0696484274027471	0.0333009884855735	0.0317531646013993	0.106923102868914	0.0474796298448626	0.0845525884326459	0.0950305231341403	0.0363196936644618	0.0937947860525901	0.0834245254503893	0.0265518389467932	0.0549794940566719	0.0835109308659391	0.0230007568861369	0.0668736494662066	439.034180373286	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0801844281802396	0.0700882061550716	0.0774929877947818	0.0730946428808898	0.0662298674859014	0.0587443551495446	0.0842158318725899	0.0679857925090612	0.0533799802435331	0.051607602501224	0.0603755697826371	0.0527800034445454	0.118938916937637	0.0723761908066552	0.066786574551671	0.0654909042203387	0.0687309170854598	0.0707616469880197	636.293550520553	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.196105887370376	0.193100908908667	0.200178719201341	0.196443090304638	0.1930703102964	0.197019850584998	0.194323731696018	0.213571197400731	0.201576059874459	0.205451704401793	0.210799643856078	0.211634480545798	0.201707954760828	0.202359496499588	0.193138433366548	0.188391406439804	0.178624338191464	0.198853588068846	14826.7558662209	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_REGULATOR_ACTIVITY"	-0.0179142602634873	-0.0129541797189118	0.0178869935909472	-0.0252607907137411	-0.0279256460171692	-0.0328664855534681	0.00877619549226439	-0.00261553298309194	-0.00888050710568963	-0.0334357992256665	-0.0272043445040053	0.00627944464565338	-0.00347712816875045	0.00481720913315994	-0.0220134649418756	-0.00529338223350278	0.0187848803102211	-0.0117741025790034	134.544583352822	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.128287331174506	0.118287205680892	0.115034157396072	0.126329567834758	0.110669285567916	0.0963454830972474	0.107822756801531	0.116193786629564	0.108907501885163	0.111234107854229	0.125484062134669	0.139218625711173	0.101748877297038	0.175345276077505	0.113033468952995	0.0753382371616664	0.106571460959723	0.117008591926306	1124.94735000497	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.231922275770191	0.230898950817927	0.223164564346493	0.232323418934171	0.238086968459635	0.237607466203712	0.223915531884494	0.238180045396058	0.229937568960096	0.231491242423663	0.251763633371336	0.24421791288501	0.220226883502204	0.233286100298321	0.2282982174817	0.231184154475292	0.218551934818672	0.232140252783617	27400.8857525351	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0686063614278591	0.0687804141036852	0.059768519250321	0.0673122563463558	0.0629304384510611	0.0628820542746554	0.0627666123346554	0.0691702467703448	0.0676869174913038	0.0653768047162039	0.0627609324475557	0.0729943969116892	0.0487221878289022	0.0728714631108895	0.0747284101505499	0.0589204469549621	0.0769565786778	0.0655106188124945	991.519608192678	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.197744292672082	0.192468435217997	0.215562541864816	0.195158529165012	0.184288187047899	0.169288567842196	0.206522127000288	0.17528585753779	0.194402534604233	0.194717666698752	0.180533474975037	0.20110011505296	0.210343710667329	0.190569108444658	0.193930828258821	0.160004754068284	0.202214419129132	0.194040234746377	16257.250895655	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.10523619960252	0.112270359789283	0.11514179163279	0.111497502979497	0.111600805906446	0.130646580031871	0.117431969819499	0.118329341198374	0.103899784814706	0.103299417513984	0.126629836981905	0.122023122421665	0.112975031394158	0.111933953261529	0.109455346572846	0.151471923887536	0.11019702518155	0.113715321607916	4410.33568106775	0	0
"GO_11_CIS_RETINAL_BINDING"	0.0787780721937153	0.0808610507134546	0.0616419018544972	0.076860402579631	0.0938160447352759	0.0881115243702443	0.0587815464522343	0.0873629534944474	0.0723559214641675	0.0692712056116716	0.0989926991665686	0.0905408277799953	0.0513726663924675	0.0686000503755955	0.0790243735522428	0.0830889939269398	0.0681005162974715	0.07741011359095	16644.5302798198	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0903862926465124	0.0877595159888258	0.114901960146451	0.0937658431157619	0.0668904203183584	0.0410333706844389	0.116443324231375	0.0689068631188235	0.105965470854912	0.101664192315426	0.040486634833503	0.0812429176516448	0.108268171842397	0.069204403935172	0.0863903750806497	0.0634498424091739	0.110375589577143	0.0874334238249657	3184.54208922446	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	0.112551760252732	0.111661536573407	0.0858833993278311	0.104324770638398	0.122189107288615	0.111789948700943	0.0858800129765762	0.109619005407232	0.104461385345243	0.0977406487438511	0.121215888345257	0.113042196024629	0.103278575844208	0.0893233240924442	0.109456170620398	0.100570519718053	0.0949782471723162	0.105491432402154	5562.21257510528	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.0891103512870131	0.0879120234584923	0.134574619195704	0.103313588151943	0.065386462768925	0.108473344509277	0.138952286434083	0.0801569909037362	0.107746608894016	0.12475406246133	0.0667556860806751	0.0424529939928198	0.161543761322274	0.123553662259682	0.0972626978245658	0.0970282452745062	0.137294801587634	0.101297707706908	2224.49291812518	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0784679195101563	0.0790174202170149	0.0853727643769445	0.0735904215124693	0.070192455802704	0.077789393560163	0.0861837552186304	0.0765607072605534	0.0749843470811453	0.072804585362845	0.0748336809418436	0.0750184916445204	0.0963362485312063	0.0919012233138876	0.0746030120558751	0.084309579967981	0.0868807214818319	0.07848659613093	7405.17842793546	0	0
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.039368884324519	0.042189415658447	0.0743994682932274	0.0467825634821137	0.0273392838767587	0.0629754685089515	0.0765804664027309	0.0509526573110179	0.0572433834907935	0.0631625044363416	0.0493777128741662	0.0385789001513555	0.110994850982836	0.0625408350519825	0.0385941413439061	0.0643158385747127	0.0652842850481818	0.0532840674533857	1130.19006992961	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.172462686183259	-0.167314281830837	-0.124293737301084	-0.160966587045741	-0.194174124511936	-0.158750241087845	-0.102504969448947	-0.175325656104515	-0.147481151925661	-0.13863370198306	-0.186725590138184	-0.198419486180436	-0.0723533702115184	-0.156610258352143	-0.15646929383064	-0.151831662313827	-0.13760809716031	-0.156389837025101	1844.80778490304	0	0
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0288282584572575	0.0398839361749758	0.0435481570635134	0.0309540965171015	0.0319119573997069	0.0335862020552004	0.0446803793407881	0.0512953577869545	0.0406834548601502	0.0315420666762729	0.0422619363235199	0.0609024838238921	0.0361423123497982	0.0138071990408744	0.0262500533951939	0.0540006707188133	0.0353678883571639	0.0376382729315623	764.226137869294	0	0
