""	"Hyperexpanded"	"Large"	"Medium"	"Small"	"Single"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.089397921818048	-0.108090098596931	-0.117360834727408	-0.108097184571318	-0.128567180020239	-0.12661029977405	5424.32336262601	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0609507695427147	0.0500785747013391	0.041126187106912	0.0454473877966401	0.0474336682369196	0.0472616894490523	834.79659173509	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.186721376367854	0.188600157545837	0.187253161357896	0.189491630525547	0.200071197495504	0.198935395707709	35341.8563841775	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0735009590593042	0.0833516744145062	0.0772900786721565	0.0789919321359931	0.0855981878877993	0.0848991022684183	2766.14441513161	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.208730297716187	0.222825395243853	0.217912200058959	0.220627046541501	0.22208983046652	0.221831942306072	107124.414964017	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0610306440744183	0.0471337898400708	0.0511459266326053	0.0495488455852012	0.0493929683796238	0.0494905566378308	2133.27372259079	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.162438054001407	0.165026426498708	0.172519386013748	0.172919090975536	0.170427019066813	0.170547707125616	58054.9842826399	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.118436728950925	0.104158526881951	0.109263411283746	0.10279345852148	0.102410330922671	0.102692389074719	13671.1884794486	0	0
"GO_11_CIS_RETINAL_BINDING"	0.307713317436633	0.331314181931611	0.335743433881233	0.335072927393603	0.336726581646431	0.33639091847646	692524.918788272	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0857730436651565	0.0672143811867004	0.0631347983456963	0.0667689516798536	0.0575592368996335	0.0585150647874356	3624.99962677944	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	0.0412709785479587	0.0549444115233032	0.0596597472001697	0.0589856089244748	0.0603716316491694	0.0601154486235171	6672.24539997023	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.109949526662558	0.0751912757168374	0.0797424634296811	0.0832668015107179	0.0798221654453769	0.0801782852957821	4610.13480631045	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0625042731681242	0.0663616551721973	0.0629829968166247	0.0614956364858107	0.0599018949059211	0.0601388062036798	12549.6083220856	0	0
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0549777003042555	0.0404560533468538	0.0263623786022579	0.0245141427314373	0.0185396773277084	0.0194781368636813	370.587892606769	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.12813847698898	-0.183183807537383	-0.17207369566979	-0.189399373916336	-0.191145887862456	-0.190188380577454	9493.7119408306	0	0
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0183918159149512	0.0291455212496035	0.0333569859141138	0.0346848726594219	0.0402228516376369	0.0395011718678456	2312.94303924331	0	0
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	0.0654527990435674	0.0673181727813437	0.0652773036160846	0.0673915188852709	0.0639390406327963	0.0642273278491712	6551.9533018995	0	0
"GO_3_5_DNA_HELICASE_ACTIVITY"	0.0489719660854855	0.0151054527860155	0.0184269958082352	0.0159749879831804	0.0114924570568075	0.0121779813736229	360.365216617917	0	0
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	0.0619591405568228	0.0419798922417179	0.0416223892840938	0.0456731953547486	0.0488768040832924	0.0485281697761069	1548.71635561727	0	0
"GO_3_5_EXONUCLEASE_ACTIVITY"	0.112068996197819	0.0933066609924961	0.0922444053416721	0.0919982251915233	0.0958515074494097	0.095593744884173	30789.8906552981	0	0
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.138197940828023	-0.125555543827641	-0.124185224457731	-0.127232859430539	-0.123990292515905	-0.124297378055082	11820.3094467008	0	0
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.130473816562984	-0.114554335378307	-0.12462432931228	-0.1247921174262	-0.128650944930268	-0.128211944821151	25886.417786044	0	0
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	0.119440117186138	0.0825325074526639	0.0880623652774792	0.0864843231813144	0.0782068608934666	0.0792300813355392	1750.01002128155	0	0
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.261199031904673	0.237884503167519	0.240353990676495	0.244271391527408	0.244376552078216	0.244324967936752	62756.3367767858	0	0
