""	"K"	"P"	"T"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"GO_1_4_ALPHA_OLIGOGLUCAN_PHOSPHORYLASE_ACTIVITY"	-0.123879194447933	-0.13287249555414	-0.109007135387666	-0.126867332981508	11095.1805711892	0	0
"GO_1_ALKYL_2_ACETYLGLYCEROPHOSPHOCHOLINE_ESTERASE_ACTIVITY"	0.0381920734246052	0.0474926763017508	0.0453455726775279	0.0464200990718195	1651.97307062309	0	0
"GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"	0.186374461975804	0.201870741009678	0.189668660965466	0.198117199220594	72005.6540826826	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_KINASE_ACTIVITY"	0.0725814803795965	0.0865059308064495	0.0816475627460742	0.0845253182628731	5474.24472123504	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_ACTIVITY"	0.215434493376269	0.222790086391469	0.220350933145384	0.221772847960944	211378.400755928	0	0
"GO_1_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_5_KINASE_ACTIVITY"	0.0481426730281957	0.0497228912990789	0.0489625606337887	0.0494504733649587	4260.07022870561	0	0
"GO_1_PHOSPHATIDYLINOSITOL_BINDING"	0.164596470869101	0.170742901362356	0.171050889238	0.170427821128886	115129.801826267	0	0
"GO_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS"	0.105905454705665	0.103251210473522	0.102217241215687	0.103181848570304	26906.0039035064	0	0
"GO_11_CIS_RETINAL_BINDING"	0.334266459076185	0.338148484636906	0.333593665386698	0.336866614227384	1223479.08305138	0	0
"GO_14_3_3_PROTEIN_BINDING"	0.0503440467845796	0.0534065513326169	0.0707241734638094	0.0571630584234804	7090.04148783579	0	0
"GO_2_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY"	0.0590540734093062	0.0614278857946559	0.0574684103320278	0.0603763018521915	12971.7011383348	0	0
"GO_2_IRON_2_SULFUR_CLUSTER_BINDING"	0.105039493372696	0.0779308731486299	0.0826709340900962	0.0807109902751472	8574.79849755262	0	0
"GO_2_OXOGLUTARATE_DEPENDENT_DIOXYGENASE_ACTIVITY"	0.0680207562340673	0.0603437362386266	0.0599009814202136	0.060724037486333	25249.2573940035	0	0
"GO_2_OXOGLUTARATE_METABOLIC_PROCESS"	0.0510877323629862	0.0165391538725326	0.0274433054704303	0.0211910986612582	944.320655058342	0	0
"GO_2FE_2S_CLUSTER_ASSEMBLY"	-0.169168922345715	-0.192850921192992	-0.18520367539151	-0.189622759707273	18207.9558379387	0	0
"GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"	0.0377929259123687	0.0403199970295043	0.0383157059441559	0.039704595569216	4537.27615709846	0	0
"GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"	0.061048913540786	0.0638721922939939	0.0654745730825367	0.0640605579907525	12991.5391948933	0	0
"GO_3_5_DNA_HELICASE_ACTIVITY"	0.00579624015661413	0.0113822643224807	0.016477719077518	0.0121938759798518	703.559509019853	0	0
"GO_3_5_EXODEOXYRIBONUCLEASE_ACTIVITY"	0.0304730297266773	0.048609095894613	0.0456530172181867	0.0467981984059916	2877.28492571521	0	0
"GO_3_5_EXONUCLEASE_ACTIVITY"	0.0976860087869707	0.0962864836758679	0.0929567116454809	0.095615014704972	60607.2480349156	0	0
"GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY"	-0.11105450204573	-0.122766479294222	-0.128729905596147	-0.123391972904012	21592.8905684852	0	0
"GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY"	-0.108956888492067	-0.128338769571162	-0.127491935137828	-0.12693069150945	43131.6181881273	0	0
"GO_3_HYDROXYACYL_COA_DEHYDRATASE_ACTIVITY"	0.0711632043364449	0.0767531748898584	0.0861862537366492	0.078553534777517	3421.11586268786	0	0
"GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY"	0.303749041502323	0.244498720536116	0.243395572527653	0.247961436855708	112040.659489488	0	0
"GO_3_KETO_STEROL_REDUCTASE_ACTIVITY"	-0.0561907655911883	-0.06226050290638	-0.0655928823005757	-0.0626398037021174	2260.55228388085	0	0
"GO_3_OXO_ARACHIDOYL_COA_SYNTHASE_ACTIVITY"	0.214381585696304	0.223297077789887	0.232499255971598	0.224836323671448	165713.933242016	0	0
