Activated	Exhuasted	CD8_G	CD8_B	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6
				HPRT1	AZIN1				
				MTHFD1	FASLG				
				SAE1	IL6ST				
				BARD1	SMC4				
				ACYP1	CCL3				
				TPRKB	GLS				
				ARHGAP11B	SRGAP2				
				MRPL27	PDE4D				
				SNRPE	PDCL3				
				MRPL14	CCT2				
				MRPL11	BNIP3L				
				MRPL37	NAA50				
				MRPS26	PSMC2				
				FARSB	NUDC				
				KIF20B	STARD7				
				SNRPD1	C20orf24				
				RFWD3	MCM5				
				CHCHD1	NELL2				
				IFRD2	PRF1				
				TIMM13	HBS1L				
				H2AFX	DYNLL1				
				MRPL13	OSBPL3				
				ATIC	RALGDS				
				HAUS7	GBP2				
				COMMD4	CTSB				
				SLC38A5	SOD1				
				PMVK	MAP1LC3B2				
				HINT2	FOSL2				
				HAUS5	CRKL				
				POLR3K	GNLY				
				LSM3	KIAA0319L				
				MYCBP	SLU7				
				THOC6	CCT3				
				PTTG1	MAP2K3				
				EIF4EBP1	CASP3				
				TACC3	HSP90AB1				
				ELP6	PTP4A1				
				MAD2L2	GTPBP1				
				SMS	SEC11C				
				ADCY3	ZC3H12A				
				MZT2B	RIC8A				
				GMPS	OAT				
				THOC3	LGALS1				
				TXNDC17	ITGAE				
				TIMM8B	SLA2				
				LSMD1	PPP2CA				
				NDUFAB1	CD38				
				ZDHHC12	ZBTB38				
				HAT1	RAB1A				
				MRPL52	PITPNB				
				CTPS1	GOLGB1				
				BCKDK	KIF5B				
				AKR7A2	NRBP1				
				PSMC3	TRIM69				
				MRPL24	CYCS				
				CPSF3	PDIA6				
				UTP11L	CCT6A				
				MRPL36	CHD1				
				TMPO	IP6K2				
				MZT1	PLIN2				
				EXOSC8	HOPX				
				MZT2A	IFRD1				
				UQCC2	WSB1				
				MRPS11					
				POP4					
				H2AFV					
				VPS25					
				ERI1					
				ATP5G1					
				MTCH2					
				HIST1H1E					
				MRPL51					
				MSH6					
				MPDU1					
				AAAS					
				BLVRA					
				H2AFY					
				PGD					
				PSMB5					
				CDKN2A					
				COA6					
				AARS					
				BZW2					
				GART					
				COA3					
				MRPL39					
				RCC2					
				BRIX1					
				GTF3C6					
				IMPDH2					
				MLH1					
				HSPA14					
				ACAD9					
				SNRPF					
				MRPS36					
				NHP2					
				NDUFS6					
				NUP107					
				FANCL					
				MRPS18A					
				SLBP					
				CHCHD5					
				LSM4					
				SDF2L1					
				HDAC2					
				DPM2					
				FABP5					
				MRPS15					
				PRDX3					
				SLIRP					
				CIAPIN1					
				LAS1L					
				GLO1					
				MRPS12					
				ANAPC11					
				TRAP1					
				SIGMAR1					
				MCTS1					
				DPP3					
				DCPS					
				TOMM5					
				PTPLAD1					
				STOML2					
				NUP62					
				SNRPA					
				PPIH					
				C4orf27					
				SSSCA1					
				NDUFA8					
				MRPL48					
				FDPS					
				NUTF2					
				SKA2					
				GOT2					
				RHNO1					
				SMC4					
				PRPSAP1					
				WDR54					
				WDR18					
				COX17					
				ACADM					
				LRRC59					
				LSM2					
				YIF1B					
				GSTO1					
				VBP1					
				RBBP7					
				IPO5					
				MRPS35					
				DCUN1D5					
				PSMD14					
				TUBB					
				AP2S1					
				NDUFB3					
				ATP5SL					
				PRPS2					
				MRPL21					
				FAM96A					
				EXOSC7					
				SMC1A					
				LYRM4					
				TIMM50					
				PPIF					
				CSE1L					
				GADD45GIP1					
				PNKD					
				POLR2D					
				SNRPC					
				CBX5					
				HSD17B10					
				MEA1					
				TMEM261					
				RNASEH2B					
				GUCD1					
				CARHSP1					
				IER3IP1					
				ERH					
				MRPS18C					
				SIVA1					
				BANF1					
				NDUFB1					
				IPO9					
				EMC6					
				TPGS2					
				AKR1A1					
				LAMTOR2					
				SSNA1					
				CKS2					
				CYC1					
				ARL6IP6					
				MRPS16					
				TP53					
				POLDIP2					
				UROD					
				SUCLA2					
				GSS					
				USP5					
				ALG3					
				NDUFA12					
				FARSA					
				LSM6					
				MRPL18					
				NUP205					
				TMEM14C					
				NUP85					
				C12orf10					
				DCAF13					
				GLRX3					
				ROMO1					
				CKAP5					
				POLR2I					
				HLA-DMB					
				EZH2					
				CD320					
				MRPL3					
				GTF3C5					
				DNPH1					
				CHID1					
				MRPS24					
				MRPS10					
				TDP1					
				OXCT1					
				MRPL16					
				TREX1					
				TMEM70					
				ATP5J					
				C17orf89					
				ELP5					
				PHF5A					
				CIITA					
				UCHL3					
				MRPL42					
				DKC1					
				OLA1					
				ALG5					
				UBL7					
				EBP					
				PLGRKT					
				RNASEH2C					
				ARL2					
				NAA20					
				NDUFB7					
				FAM136A					
				TMEM256					
				NDUFA2					
				TALDO1					
				UTP18					
				NDUFB6					
				COPS3					
				MRPS7					
				HSBP1					
				MED8					
				ITGB1BP1					
				RTN3					
				MRPS18B					
				MRPL22					
				THOC7					
				BOLA2B					
				PHB					
				SLC4A2					
				CDC123					
				SLC25A11					
				SNRNP40					
				TKT					
				GTPBP4					
				TIMM23					
				TIMM17A					
				XRCC1					
				NUDCD2					
				MRPL28					
				NUP93					
				PSMD1					
				NELFE					
				RAE1					
				SMC3					
				POLE3					
				DDT					
				DUSP23					
				MED30					
				SNRPD3					
				TMEM167A					
				NDUFS4					
				TRAPPC2L					
				CSRP1					
				DCLRE1C					
				TXN					
				MRPS14					
				DDX1					
				CYB5B					
				SUCLG1					
				PSMG2					
				MAGOH					
				GRHPR					
				MRPL41					
				FANCA					
				FIBP					
				MRPL53					
				CCDC124					
				NUDT5					
				RRP7A					
				SMIM19					
				MRPL55					
				TXNDC9					
				ADSL					
				NSL1					
				PRPF31					
				PTRHD1					
				SLC35A4					
				CCDC25					
				PSMB2					
				CNP					
				NSMCE1					
				WIBG					
				NDUFS3					
				LYPLA1					
				PFDN2					
				TOR1A					
				RANGRF					
				EXOSC9					
				TMEM107					
				PMM1					
				SEC61G					
				CCT2					
				TOR3A					
				C1QBP					
				NDUFA7					
				DNMT1					
				FKBP2					
				VDAC3					
				RPA2					
				EXOSC3					
				MRPL47					
				PPA1					
				RECQL					
				PSMD3					
				CISD2					
				DDX41					
				HSPB11					
				TSEN15					
				PDZD11					
				PHPT1					
				VMA21					
				DBI					
				EIF2S1					
				MYEOV2					
				TMEM208					
				LLPH					
				SNRPG					
				NOB1					
				EIF1AY					
				DPM1					
				CLTA					
				DPY30					
				STX10					
				GUSB					
				TMEM160					
				ATP5J2					
				RTCB					
				CCT5					
				PSMC1					
				MRPL54					
				COX16					
				FUNDC2					
				GTF2A2					
				TMEM14A					
				ECHS1					
				RUVBL1					
				TSN					
				TCEB1					
				MRPL4					
				ANP32B					
				ID3					
				COX5A					
				HIST1H2BK					
				TXN2					
				USP14					
				LSM7					
				PSMA4					
				NDUFC1					
				NUDT21					
				C16orf80					
				RPUSD3					
				BLOC1S1					
				MRP63					
				DCTN3					
				COMMD3-BMI1					
				COA4					
				AK2					
				MKI67IP					
				COX7B					
				RPA1					
				KIAA0020					
				NME1-NME2					
				NDUFS1					
				PSENEN					
				FKBP3					
				GPAA1					
				WDR46					
				DCAF12					
				NDUFB10					
				NOP10					
				VDAC1					
				CALU					
				PSMC4					
				KLHDC3					
				VTA1					
				ADH5					
				WDR61					
				PFDN1					
				TMEM126B					
				UQCRC1					
				ESD					
				SRPK1					
				PRPF38A					
				WDR36					
				TIPRL					
				NOLC1					
				KEAP1					
				ACD					
				ILK					
				CUEDC2					
				PSMD10					
				MIF4GD					
				AP1B1					
				OSGEP					
				CYB561A3					
				RAB11A					
				WARS					
				SF3B14					
				ASNA1					
				CHTF8					
				NDUFC2					
				EIF6					
				DNAJC15					
				COMMD3					
				GNL2					
				PPA2					
				BCCIP					
				HMGA1					
				MRPS34					
				POP5					
				SPAG7					
				SARNP					
				IMMT					
				COPS7B					
				ETFB					
				ORMDL2					
				NDUFB2					
				ABCE1					
				C11orf73					
				EIF2B1					
				SDHB					
				GNG5					
				PSMD9					
				ACAT1					
				NDUFB11					
				RFXANK					
				APEX1					
				METTL5					
				DRG1					
				ATG3					
				HNRNPAB					
				FTSJ1					
				CNOT10					
				C19orf70					
				ATP5G3					
				MRPL43					
				ADK					
				IFI27L2					
				PPP4C					
				TMEM258					
				COLGALT1					
				CHMP2A					
				RBX1					
				RSRC1					
				RP11-500M8.7					
				SUPT16H					
				DEK					
				ZCRB1					
				UCHL5					
				SAMM50					
				RHEB					
				OSTC					
				MT1X					
				NMI					
				TRAF2					
				POLR2J					
				COX20					
				CASP3					
				PSMG3					
				TRNAU1AP					
				RPS27L					
				ENY2					
				C14orf2					
				TMEM11					
				COX8A					
				NUCB2					
				NOP16					
				HDDC2					
				ATP5H					
				PCMT1					
				RPF1					
				UTP6					
				RPL22L1					
				TBCA					
				PRMT1					
				DCXR					
				TUBA1B					
				UQCRH					
				COASY					
				C1D					
				GTF2F2					
				SLC35B2					
				IDH3A					
				ZBTB8OS					
				NNT					
				MRPS27					
				ATP5O					
				ATP5I					
				GPN1					
				ENOSF1					
				ERCC1					
				TMEM209					
				NDUFS8					
				MINOS1					
				HYPK					
				PPM1G					
				PCNT					
				AK3					
				ACAA2					
				TMED3					
				GEM					
				EPRS					
				CHRAC1					
				NXT1					
				TUBA1C					
				DNAJC19					
				SMIM15					
				SRPRB					
				MED24					
				MDH1					
				C17orf49					
				HIGD1A					
				DDX56					
				ZMAT2					
				UBE2V2					
				SNX4					
				TRIM28					
				USMG5					
				HMGB2					
				PFKL					
				PRKAG1					
				DCTN2					
				PDIA6					
				SRSF10					
				COMMD8					
				SMARCB1					
				SNAPIN					
				C9orf114					
				SMIM12					
				AKR1B1					
				PDIA4					
				PSMC2					
				APOA1BP					
				NIP7					
				ING3					
				MPC1					
				AL353354.2					
				NUP188					
				PPP1R7					
				PLEKHJ1					
				SDHC					
				IMP4					
				BAD					
				GARS					
				MRPL34					
				UQCR10					
				SLC35B1					
				PTPMT1					
				NOL7					
				ETHE1					
				CEP57					
				YDJC					
				POLR2K					
				MRPL32					
				TOMM6					
				NDUFA9					
				TARS					
				RFC1					
				KPNA2					
				SMPD4					
				VRK2					
				ETFA					
				RBM42					
				ABCF1					
				MRPL9					
				ILF2					
				NDUFAF3					
				PARP1					
				RAC1					
				DDX47					
				TMEM109					
				C19orf10					
				PPP1CC					
				PIN1					
				C8orf59					
				API5					
				FBL					
				TMX1					
				DGUOK					
				KARS					
				PPP5C					
				SCNM1					
				COMT					
				UQCRQ					
				C12orf75					
				COPS4					
				THYN1					
				MRE11A					
				KATNBL1					
				GPS1					
				URM1					
				HN1					
				NAE1					
				PROSC					
				MMADHC					
				DECR1					
				TXNRD1					
				PRPS1					
				SEC13					
				NBN					
				PDHA1					
				MRPL49					
				EFTUD2					
				PUF60					
				NDFIP2					
				POLR2F					
				GABPB1					
				SF3B5					
				VPRBP					
				SUPT4H1					
				TMUB1					
				SLC39A9					
				CMPK1					
				ENOPH1					
				SUMO3					
				OVCA2					
				STT3A					
				ERGIC2					
				YIF1A					
				VKORC1					
				UBE2A					
				SF3B3					
				ATP5F1					
				PSMB7					
				PPT1					
				SLC25A39					
				SHFM1					
				YBX1					
				ZCCHC17					
				SYNCRIP					
				BAG4					
				CALM3					
				DDX39A					
				NDUFS2					
				RANGAP1					
				REXO2					
				GBAS					
				C11orf48					
				AATF					
				C4orf48					
				PLRG1					
				TAF12					
				TAF9					
				PET100					
				CSNK2A1					
				C1orf174					
				DDA1					
				EMG1					
				MIEN1					
				CNPY2					
				GOLT1B					
				CACYBP					
				TADA3					
				COPS8					
				MBD4					
				MT2A					
				AAGAB					
				HARS					
				C14orf166					
				SLC1A5					
				BLOC1S2					
				MRPL20					
				TRAPPC5					
				DHX15					
				ABT1					
				PSMB3					
				EED					
				NT5C					
				SRP19					
				PSMD4					
				CASP2					
				PSMD2					
				COX6C					
				CWC15					
				EIF3I					
				MPV17					
				NUBP2					
				RALY					
				SGTA					
				MTHFD2					
				NTMT1					
				NRAS					
				NOC2L					
				PSMD7					
				FPGS					
				COPS5					
				LMAN1					
				GNAI3					
				GOLIM4					
				NUP160					
				USP39					
				UBE2N					
				POLR2L					
				INTS10					
				IFI35					
				NDUFB9					
				RAB8A					
				CTDSPL2					
				RBM10					
				CDC27					
				CCT7					
				CNIH1					
				RAD21					
				IDH2					
				CCT3					
				FDFT1					
				PA2G4					
				BRMS1					
				NUP88					
				C11orf31					
				METAP2					
				SPTLC1					
				COQ4					
				ITPA					
				MRPL38					
				TIMMDC1					
				NASP					
				TTLL5					
				UFD1L					
				SEC11A					
				PSMD12					
				BCKDHA					
				C16orf13					
				UBE2L3					
				LAMTOR1					
				PSMB6					
				PWP1					
				RB1					
				NDUFB4					
				ARFRP1					
				SLX1B					
				EDC4					
				NAA15					
				MPC2					
				HMGN3					
				POLR2G					
				PSME3					
				SF3B4					
				AURKAIP1					
				COPB2					
				HNRNPR					
				MTPAP					
				MEMO1					
				NOP56					
				CCT8					
				C21orf59					
				POLR2E					
				TMED9					
				ANP32E					
				UXT					
				PHB2					
				SF3A3					
				IMP3					
				HTRA2					
				CDC25B					
				TSTA3					
				ACO2					
				PSMD13					
				NDUFA1					
				CCT6A					
				RPS19BP1					
				CCDC82					
				SSBP1					
				WDR83OS					
				AP1M1					
				C19orf24					
				PYCR2					
				VPS29					
				SEC61B					
				GSTP1					
				HBS1L					
				CPSF6					
				BABAM1					
				C7orf73					
				KHDRBS1					
				NDUFA6					
				PARL					
				DDX19B					
				NUP50					
				RNPS1					
				MYO7A					
				FAM3C					
				TRAPPC4					
				MAPRE1					
				PSMA2					
				MIS18BP1					
				YIPF5					
				SNRPB					
				TOMM22					
				KDELR2					
				EMC7					
				COX6A1					
				C19orf53					
				TSSC4					
				RNF181					
				STAMBP					
				ELOVL1					
				CKAP2					
				FAM50A					
				COX6B1					
				MAZ					
				UBE2J2					
				CYB5R3					
				MDH2					
				PDHB					
				CLPP					
				TXNDC15					
				RNF5					
				EXOSC1					
				TXLNA					
				SMDT1					
				CAPRIN1					
				EIF2S2					
				CNIH4					
				ATP6V0B					
				AP3S1					
				EIF4E2					
				MPG					
				TRMT2A					
				PPP2R5D					
				PPP2R4					
				SNX5					
				PGLS					
				TSG101					
				PDAP1					
				PSMA6					
				ANXA5					
				NARS					
				C7orf50					
				H2AFZ					
				APH1A					
				AGK					
				ANKRD54					
				MFF					
				DBF4					
				CUL2					
				PRDX5					
				TWF2					
				PMF1					
				ABRACL					
				RBM17					
				PIH1D1					
				TUFM					
				ADRM1					
				FAM195B					
				AZI2					
				NUPL1					
				MRPS25					
				MCRS1					
				IDH3G					
				VOPP1					
				DDB2					
				SRSF4					
				ACP1					
				ANAPC7					
				SEC23B					
				NDUFV2					
				MESDC2					
				TDG					
				MRPS21					
				ZNHIT3					
				CTSB					
				ZFAND2B					
				MGST3					
				CPSF7					
				CHTOP					
				PRKDC					
				EIF4E					
				NELFCD					
				SRI					
				BUD31					
				FAM103A1					
				AAMP					
				MITD1					
				TMEM14B					
				LBR					
				PSMD11					
				NAA10					
				PQBP1					
				EMC4					
				DENR					
				SNRPD2					
				LGALS1					
				TXNDC12					
				PIP5K1A					
				COX7A2					
				BATF					
				SNRPA1					
				FAM111A					
				HLA-DMA					
				LYPLA2					
				ATP6V1B2					
				XCL2					
				METAP1					
				NDUFS7					
				HNRNPD					
				ISY1					
				NDUFA11					
				HADHA					
				ACTR1A					
				PFKP					
				SRP72					
				NIT2					
				SRA1					
				ZNF706					
				TTC1					
				RP11-286N22.8					
				RAD23A					
				NCLN					
				COPS6					
				SNW1					
				HLA-DQA2					
				NF2					
				MTFP1					
				USP10					
				PDS5B					
				IDH3B					
				PMPCA					
				NDUFB5					
				LARP7					
				SRSF9					
				CHMP1A					
				TRIM26					
				GORASP2					
				DDB1					
				ARPC5L					
				HK1					
				NAA38					
				SFT2D1					
				UQCRFS1					
				DCK					
				UBTF					
				CDK2AP2					
				DNAJB11					
				DHX9					
				SEC11C					
				DIABLO					
				ANP32A					
				CCDC47					
				TBPL1					
				COPZ1					
				SS18L2					
				GNL3					
				GRPEL1					
				SLC25A46					
				TFG					
				DDX54					
				NUCKS1					
				CCT4					
				EIF4A3					
				NIPA2					
				DGCR6L					
				XPO1					
				NFYC					
				BTF3L4					
				USB1					
				SRP9					
				HDAC1					
				POMP					
				EIF4G1					
				TEX264					
				PSMD8					
				ATP6V1F					
				ELAC2					
				CKLF					
				PBDC1					
				CHMP4A					
				CAMTA1					
				LRPPRC					
				TSR2					
				CXXC1					
				NAPRT1					
				MLX					
				NUDC					
				NEDD8					
				DCTD					
				SERPINB1					
				SLX1A					
